timestamp,sensor_index,humidity,temperature,pressure,pm2_5,humidity_error,temperature_error,pressure_error
2022-10-31,5582,36.729,58.868,979.447,14.4885,,,
2022-10-04,5582,35.555,75.637,988.311,4.5755,,,
2022-10-16,5582,39.364,53.698,984.481,0.8674999999999999,,,
2022-12-04,5582,37.531,29.027,987.161,6.4645,,,
2022-12-07,5582,39.617,31.5,992.602,8.9925,,,
2022-10-24,5582,45.764,71.094,969.107,7.045,,,
2022-11-19,5582,37.609,27.66,983.403,1.6995,,,
2022-11-03,5582,41.857,70.658,977.689,11.754000000000001,,,
2022-10-11,5582,36.943,71.253,976.141,10.136,,,
2023-01-27,5582,45.464,31.166,971.873,8.2475,,,
2023-01-13,5582,45.468,31.181,996.858,8.146,,,
2023-02-04,5582,33.881,24.544,983.508,5.0465,,,
2023-02-07,5582,46.991,43.756,978.753,13.112,,,
2023-03-10,5582,46.947,42.499,991.604,2.7824999999999998,,,
2022-11-13,5582,33.236,39.174,993.989,0.911,,,
2023-01-22,5582,48.029,32.431,983.375,13.2985,,,
2022-09-05,5582,46.262,75.932,987.803,4.827500000000001,,,
2023-03-25,5582,31.618,47.696,976.178,7.734999999999999,,,
2022-11-30,5582,41.174,28.536,981.78,4.202500000000001,,,
2022-10-23,5582,37.865,74.705,969.827,9.6135,,,
2022-11-06,5582,42.565,52.233,971.844,3.796,,,
2022-12-10,5582,51.365,42.904,988.845,13.124500000000001,,,
2022-12-18,5582,40.462,19.245,987.539,1.5234999999999999,,,
2022-12-16,5582,50.742,42.104,962.857,5.4559999999999995,,,
2022-11-16,5582,49.492,42.881,990.392,19.7835,,,
2023-01-17,5582,54.871,43.912,970.627,7.3675,,,
2023-03-04,5582,43.107,43.364,978.174,18.171,,,
2022-11-17,5582,45.53,35.476,986.257,5.7135,,,
2023-03-15,5582,41.921,44.32,982.449,12.117,,,
2022-09-24,5582,54.134,67.257,978.534,6.509,,,
2023-02-18,5582,43.403,39.739,984.547,11.472,,,
2022-12-26,5582,34.097,20.351,990.898,3.2195,,,
2022-10-06,5582,43.861,65.635,988.763,13.2955,,,
2022-10-26,5582,41.478,51.927,983.657,7.577500000000001,,,
2022-10-07,5582,43.271,55.19,1000.094,0.263,,,
2023-02-12,5582,42.118,42.472,982.255,11.463999999999999,,,
